X.1;CDU;SPD
1990;789609;943402
1991;751163;919871
1992;713846;885958
1993;685343;861480
1994;671497;849374
1995;657643;817650
1996;645786;792773
1997;631700;776183
1998;626342;775036
1999;638056;755066
2000;616722;734667
2001;604135;717513
2002;594391;693894
2003;587244;650798
2004;579526;605807
2005;571881;590485
2006;553896;561239
2007;536668;539861
2008;528972;520970
2009;521149;512520
2010;505314;502062
2011;489896;489638
2012;476347;477037
2013;467076;473662
2014;457488;459902
2015;444400;442814
2016;431920;432706
2017;425910;443152
2018;414905;437754
2019;405816;419340