X.1;BVB/FREIE WÄHLER;Die PARTEI;FAMILIE;FREIE WÄHLER;ÖDP;PIRATEN;SSW;Tierschutzpartei
1990;#NV;#NV;#NV;#NV;#NV;#NV;5290;#NV
1991;#NV;#NV;#NV;#NV;#NV;#NV;5260;#NV
1992;#NV;#NV;#NV;#NV;#NV;#NV;5113;#NV
1993;#NV;#NV;#NV;#NV;#NV;#NV;5055;#NV
1994;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
1995;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
1996;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
1997;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
1998;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
1999;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
2000;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
2001;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
2002;#NV;#NV;#NV;#NV;#NV;#NV;#NV;#NV
2003;#NV;#NV;#NV;#NV;#NV;#NV;4085;#NV
2004;#NV;#NV;#NV;#NV;#NV;#NV;3829;#NV
2005;#NV;#NV;#NV;#NV;#NV;#NV;3774;#NV
2006;#NV;#NV;#NV;#NV;#NV;#NV;3653;#NV
2007;#NV;#NV;#NV;#NV;#NV;#NV;3575;#NV
2008;#NV;#NV;#NV;#NV;#NV;#NV;3548;#NV
2009;#NV;#NV;#NV;135;#NV;#NV;3514;#NV
2010;#NV;#NV;#NV;540;#NV;#NV;3617;#NV
2011;#NV;#NV;#NV;4163;#NV;19749;3663;#NV
2012;#NV;#NV;#NV;4450;#NV;25548;3660;#NV
2013;#NV;#NV;#NV;4927;#NV;22295;3690;#NV
2014;702;14158;599;4698;6095;22386;3630;1168
2015;725;17883;585;4583;6121;15476;3552;1073
2016;683;22312;599;4472;6095;11939;3394;1187
2017;696;27958;586;4648;6320;10172;3421;1546
2018;747;31400;668;5088;6658;8278;3378;1573